PS100;PS80;PS60;PS40;PS20
0;0.570833;0.429167;0;0;
0;0;0.985417;0.0145833;0;
0;0.5125;0.4875;0;0;
0;0;0.79375;0.20625;0;
0;0;0.933333;0.0666667;0;
0;0;0.025;0.975;0;
0;0.545833;0.454167;0;0;
0;0;0.05;0.95;0;
0;0.554167;0.445833;0;0;
0;0;0;0.729167;0.270833;
0.247917;0.752083;0;0;0;
0;0;0;0.966667;0.0333333;
0.195833;0.804167;0;0;0;
0;0;0;0.629167;0.370833;
0.679167;0.320833;0;0;0;
0;0;0;0.691667;0.308333;
0.5875;0.4125;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.78125;0.21875;0;0;0;
0;0;0;0;1;
0.933333;0.0666667;0;0;0;
0;0;0;0;1;
0.570833;0.429167;0;0;0;
0;0;0;0;1;
0.68125;0.31875;0;0;0;
0;0;0;0;1;
0.3625;0.6375;0;0;0;
0;0;0;0;1;
0.579167;0.420833;0;0;0;
0;0;0;0;1;
0.372917;0.627083;0;0;0;
0;0;0;0;1;
0.6;0.4;0;0;0;
0;0;0;0;1;
0.3625;0.6375;0;0;0;
0;0;0;0;1;
0.585417;0.414583;0;0;0;
0;0;0;0;1;
0.414583;0.585417;0;0;0;
0;0;0;0;1;
0.683333;0.316667;0;0;0;
0;0;0;0;1;
0.347917;0.652083;0;0;0;
0;0;0;0;1;
0.497917;0.502083;0;0;0;
0;0;0;0;1;
0.214583;0.785417;0;0;0;
0;0;0;0;1;
0.566667;0.433333;0;0;0;
0;0;0;0;1;
0.460417;0.539583;0;0;0;
0;0;0;0;1;
0.80625;0.19375;0;0;0;
0;0;0;0;1;
0.441667;0.558333;0;0;0;
0;0;0;0;1;
0.539583;0.460417;0;0;0;
0;0;0;0;1;
0.3375;0.6625;0;0;0;
0;0;0;0;1;
0.710417;0.289583;0;0;0;
0;0;0;0;1;
0.620833;0.379167;0;0;0;
0;0;0;0;1;
0.777083;0.222917;0;0;0;
0;0;0;0;1;
0.395833;0.604167;0;0;0;
0;0;0;0;1;
0.5375;0.4625;0;0;0;
0;0;0;0;1;
0.4625;0.5375;0;0;0;
0;0;0;0;1;
0.958333;0.0416667;0;0;0;
0;0;0;0;1;
0.829167;0.170833;0;0;0;
0;0;0;0;1;
0.858333;0.141667;0;0;0;
0;0;0;0;1;
0.329167;0.670833;0;0;0;
0;0;0;0;1;
0.460417;0.539583;0;0;0;
0;0;0;0;1;
0.4625;0.5375;0;0;0;
0;0;0;0;1;
0.985417;0.0145833;0;0;0;
0;0;0;0;1;
0.908333;0.0916667;0;0;0;
0;0;0;0;1;
0.983333;0.0166667;0;0;0;
0;0;0;0;1;
0.370833;0.629167;0;0;0;
0;0;0;0;1;
0.41875;0.58125;0;0;0;
0;0;0;0;1;
0.227083;0.772917;0;0;0;
0;0;0;0;1;
0.65;0.35;0;0;0;
0;0;0;0;1;
0.722917;0.277083;0;0;0;
0;0;0;0;1;
0.99375;0.00625;0;0;0;
0;0;0;0;1;
0.685417;0.314583;0;0;0;
0;0;0;0;1;
0.7125;0.2875;0;0;0;
0;0;0;0;1;
0.404167;0.595833;0;0;0;
0;0;0;0;1;
0.764583;0.235417;0;0;0;
0;0;0;0;1;
