PS100;PS80;PS60;PS40;PS20
0;0.210417;0.789583;0;0;
0;0;0.604167;0.395833;0;
0;0.429167;0.570833;0;0;
0;0;0.308333;0.691667;0;
0;0;0.9625;0.0375;0;
0;0;0;0.470833;0.529167;
0;0.827083;0.172917;0;0;
0;0;0;0.760417;0.239583;
0;0.70625;0.29375;0;0;
0;0;0;0.525;0.475;
0.372917;0.627083;0;0;0;
0;0;0;0.7875;0.2125;
0.189583;0.810417;0;0;0;
0;0;0;0.425;0.575;
0.61875;0.38125;0;0;0;
0;0;0;0.5375;0.4625;
0.439583;0.560417;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.672917;0.327083;0;0;0;
0;0;0;0;1;
0.902083;0.0979167;0;0;0;
0;0;0;0;1;
0.552083;0.447917;0;0;0;
0;0;0;0;1;
0.79375;0.20625;0;0;0;
0;0;0;0;1;
0.508333;0.491667;0;0;0;
0;0;0;0;1;
0.6625;0.3375;0;0;0;
0;0;0;0;1;
0.354167;0.645833;0;0;0;
0;0;0;0;1;
0.629167;0.370833;0;0;0;
0;0;0;0;1;
0.3875;0.6125;0;0;0;
0;0;0;0;1;
0.63125;0.36875;0;0;0;
0;0;0;0;1;
0.35;0.65;0;0;0;
0;0;0;0;1;
0.625;0.375;0;0;0;
0;0;0;0;1;
0.433333;0.566667;0;0;0;
0;0;0;0;1;
0.710417;0.289583;0;0;0;
0;0;0;0;1;
0.3375;0.6625;0;0;0;
0;0;0;0;1;
0.575;0.425;0;0;0;
0;0;0;0;1;
0.179167;0.820833;0;0;0;
0;0;0;0;1;
0.479167;0.520833;0;0;0;
0;0;0;0;1;
0.36875;0.63125;0;0;0;
0;0;0;0;1;
0.752083;0.247917;0;0;0;
0;0;0;0;1;
0.377083;0.622917;0;0;0;
0;0;0;0;1;
0.20625;0.79375;0;0;0;
0;0;0;0;1;
0;0.85625;0.14375;0;0;
0;0;0;0;1;
0.1375;0.8625;0;0;0;
0;0;0;0;1;
0.0395833;0.960417;0;0;0;
0;0;0;0;1;
0.583333;0.416667;0;0;0;
0;0;0;0;1;
0.44375;0.55625;0;0;0;
0;0;0;0;1;
0.664583;0.335417;0;0;0;
0;0;0;0;1;
0.44375;0.55625;0;0;0;
0;0;0;0;1;
0.60625;0.39375;0;0;0;
0;0;0;0;1;
0.360417;0.639583;0;0;0;
0;0;0;0;1;
0.595833;0.404167;0;0;0;
0;0;0;0;1;
0.320833;0.679167;0;0;0;
0;0;0;0;1;
0.679167;0.320833;0;0;0;
0;0;0;0;1;
0.566667;0.433333;0;0;0;
0;0;0;0;1;
0.852083;0.147917;0;0;0;
0;0;0;0;1;
0.54375;0.45625;0;0;0;
0;0;0;0;1;
0.697917;0.302083;0;0;0;
0;0;0;0;1;
0.379167;0.620833;0;0;0;
0;0;0;0;1;
0.55;0.45;0;0;0;
0;0;0;0;1;
0.345833;0.654167;0;0;0;
0;0;0;0;1;
0.764583;0.235417;0;0;0;
0;0;0;0;1;
0.758333;0.241667;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.8;0.2;0;0;0;
0;0;0;0;1;
0.883333;0.116667;0;0;0;
0;0;0;0;1;
0.420833;0.579167;0;0;0;
0;0;0;0;1;
0.675;0.325;0;0;0;
0;0;0;0;1;
