PS100;PS80;PS60;PS40;PS20
0;0;0.95625;0.04375;0;
0;0;0.629167;0.370833;0;
0;0.15625;0.84375;0;0;
0;0;0.104167;0.895833;0;
0;0.0395833;0.960417;0;0;
0;0;0;0.158333;0.841667;
0.075;0.925;0;0;0;
0;0;0;0.497917;0.502083;
0;0.960417;0.0395833;0;0;
0;0;0;0.597917;0.402083;
0.366667;0.633333;0;0;0;
0;0;0;0.983333;0.0166667;
0.0458333;0.954167;0;0;0;
0;0;0;0.81875;0.18125;
0.185417;0.814583;0;0;0;
0;0;0.0854167;0.914583;0;
0;0.6625;0.3375;0;0;
0;0;0;0.725;0.275;
0.0458333;0.954167;0;0;0;
0;0;0;1;0;
0;0.591667;0.408333;0;0;
0;0;0;0.504167;0.495833;
0.18125;0.81875;0;0;0;
0;0;0;0.677083;0.322917;
0;0.71875;0.28125;0;0;
0;0;0;0.2875;0.7125;
0.341667;0.658333;0;0;0;
0;0;0;0.33125;0.66875;
0.239583;0.760417;0;0;0;
0;0;0;0;1;
0.922917;0.0770833;0;0;0;
0;0;0;0;1;
0.927083;0.0729167;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.575;0.425;0;0;0;
0;0;0;0;1;
0.66875;0.33125;0;0;0;
0;0;0;0;1;
0.2625;0.7375;0;0;0;
0;0;0;0;1;
0.383333;0.616667;0;0;0;
0;0;0;0;1;
0.1625;0.8375;0;0;0;
0;0;0;0;1;
0.472917;0.527083;0;0;0;
0;0;0;0;1;
0.44375;0.55625;0;0;0;
0;0;0;0;1;
0.81875;0.18125;0;0;0;
0;0;0;0;1;
0.502083;0.497917;0;0;0;
0;0;0;0;1;
0.633333;0.366667;0;0;0;
0;0;0;0;1;
0.102083;0.897917;0;0;0;
0;0;0;0;1;
0.279167;0.720833;0;0;0;
0;0;0;0;1;
0.289583;0.710417;0;0;0;
0;0;0;0;1;
0.854167;0.145833;0;0;0;
0;0;0;0;1;
0.772917;0.227083;0;0;0;
0;0;0;0;1;
0.825;0.175;0;0;0;
0;0;0;0;1;
0.275;0.725;0;0;0;
0;0;0;0;1;
0.385417;0.614583;0;0;0;
0;0;0;0;1;
0.341667;0.658333;0;0;0;
0;0;0;0;1;
0.825;0.175;0;0;0;
0;0;0;0;1;
0.652083;0.347917;0;0;0;
0;0;0;0;1;
0.745833;0.254167;0;0;0;
0;0;0;0;1;
0.297917;0.702083;0;0;0;
0;0;0;0;1;
0.539583;0.460417;0;0;0;
0;0;0;0;1;
0.41875;0.58125;0;0;0;
0;0;0;0;1;
0.779167;0.220833;0;0;0;
0;0;0;0;1;
0.560417;0.439583;0;0;0;
0;0;0;0;1;
0.739583;0.260417;0;0;0;
0;0;0;0;1;
0.458333;0.541667;0;0;0;
0;0;0;0;1;
0.69375;0.30625;0;0;0;
0;0;0;0;1;
0.577083;0.422917;0;0;0;
0;0;0;0;1;
0.854167;0.145833;0;0;0;
0;0;0;0;1;
0.554167;0.445833;0;0;0;
0;0;0;0;1;
0.6875;0.3125;0;0;0;
0;0;0;0;1;
0.295833;0.704167;0;0;0;
0;0;0;0;1;
0.654167;0.345833;0;0;0;
0;0;0;0;1;
0.74375;0.25625;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.879167;0.120833;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.65625;0.34375;0;0;0;
0;0;0;0;1;
0.802083;0.197917;0;0;0;
0;0;0;0;1;
