
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/PeopleOnStreet_2560x1600_30_crop.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 2560x1600 30Hz
Internal Format                   : 2560x1600 30Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 1
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 8
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 27.00
Max dQP signaling depth           : 0
FME                               : 2
Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:0 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 27 QP 27 )    2342888 bits [Y 39.7528 dB    U 43.2606 dB    V 43.5830 dB] [ET  6.02 ] [L0 ] [L1 ]
POC    1 TId: 0 ( P-SLICE, nQP 30 QP 30 )     770720 bits [Y 36.3802 dB    U 42.1185 dB    V 42.7452 dB] [ET  8.84 ] [L0 0 ] [L1 ]
POC    2 TId: 0 ( P-SLICE, nQP 29 QP 29 )     967808 bits [Y 36.9678 dB    U 41.6978 dB    V 42.4528 dB] [ET 10.54 ] [L0 1 0 ] [L1 ]
POC    3 TId: 0 ( P-SLICE, nQP 30 QP 30 )     798728 bits [Y 36.1728 dB    U 41.3118 dB    V 42.1593 dB] [ET 10.21 ] [L0 2 0 ] [L1 ]
POC    4 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1522880 bits [Y 38.6485 dB    U 42.5826 dB    V 43.0435 dB] [ET 11.60 ] [L0 3 0 ] [L1 ]
POC    5 TId: 0 ( P-SLICE, nQP 30 QP 30 )     766968 bits [Y 36.3008 dB    U 41.7616 dB    V 42.4524 dB] [ET 10.00 ] [L0 4 0 ] [L1 ]
POC    6 TId: 0 ( P-SLICE, nQP 29 QP 29 )     961984 bits [Y 36.8587 dB    U 41.3798 dB    V 42.1884 dB] [ET 10.51 ] [L0 5 4 ] [L1 ]
POC    7 TId: 0 ( P-SLICE, nQP 30 QP 30 )     793912 bits [Y 36.1098 dB    U 41.0908 dB    V 41.9812 dB] [ET 10.13 ] [L0 6 4 ] [L1 ]
POC    8 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1536472 bits [Y 38.5990 dB    U 42.5325 dB    V 42.9905 dB] [ET 11.78 ] [L0 7 4 ] [L1 ]
POC    9 TId: 0 ( P-SLICE, nQP 30 QP 30 )     770480 bits [Y 36.3110 dB    U 41.7256 dB    V 42.4288 dB] [ET 10.00 ] [L0 8 4 ] [L1 ]
POC   10 TId: 0 ( P-SLICE, nQP 29 QP 29 )     965416 bits [Y 36.8556 dB    U 41.3589 dB    V 42.1993 dB] [ET 10.38 ] [L0 9 8 ] [L1 ]
POC   11 TId: 0 ( P-SLICE, nQP 30 QP 30 )     785864 bits [Y 36.1114 dB    U 41.0839 dB    V 42.0230 dB] [ET 10.04 ] [L0 10 8 ] [L1 ]
POC   12 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1536696 bits [Y 38.5873 dB    U 42.5073 dB    V 42.9725 dB] [ET 11.58 ] [L0 11 8 ] [L1 ]
POC   13 TId: 0 ( P-SLICE, nQP 30 QP 30 )     765200 bits [Y 36.2971 dB    U 41.6904 dB    V 42.4171 dB] [ET  9.87 ] [L0 12 8 ] [L1 ]
POC   14 TId: 0 ( P-SLICE, nQP 29 QP 29 )     962768 bits [Y 36.8549 dB    U 41.3664 dB    V 42.1872 dB] [ET 10.32 ] [L0 13 12 ] [L1 ]
POC   15 TId: 0 ( P-SLICE, nQP 30 QP 30 )     800200 bits [Y 36.1193 dB    U 41.0913 dB    V 41.9697 dB] [ET 10.11 ] [L0 14 12 ] [L1 ]
POC   16 TId: 0 ( P-SLICE, nQP 28 QP 28 )    1546976 bits [Y 38.5800 dB    U 42.4730 dB    V 43.0010 dB] [ET 11.58 ] [L0 15 12 ] [L1 ]
POC   17 TId: 0 ( P-SLICE, nQP 30 QP 30 )     773888 bits [Y 36.3137 dB    U 41.7006 dB    V 42.4010 dB] [ET  9.92 ] [L0 16 12 ] [L1 ]
