PS100;PS80;PS60;PS40;PS20
1;0;0;0;0;
0.01875;0.98125;0;0;0;
1;0;0;0;0;
0.464583;0.535417;0;0;0;
1;0;0;0;0;
0;0.772917;0.227083;0;0;
1;0;0;0;0;
0.0520833;0.947917;0;0;0;
1;0;0;0;0;
0;0.35;0.65;0;0;
1;0;0;0;0;
0.00625;0.99375;0;0;0;
1;0;0;0;0;
0;0.3625;0.6375;0;0;
1;0;0;0;0;
0;0.883333;0.116667;0;0;
1;0;0;0;0;
0;0.183333;0.816667;0;0;
1;0;0;0;0;
0;0.591667;0.408333;0;0;
1;0;0;0;0;
0;0;0.7;0.3;0;
1;0;0;0;0;
0;0.0791667;0.920833;0;0;
0.95;0.05;0;0;0;
0;0;0.4;0.6;0;
1;0;0;0;0;
0;0;0.71875;0.28125;0;
1;0;0;0;0;
0;0;0.03125;0.96875;0;
1;0;0;0;0;
0;0;0.383333;0.616667;0;
1;0;0;0;0;
0;0;0;0.916667;0.0833333;
1;0;0;0;0;
0;0;0.372917;0.627083;0;
1;0;0;0;0;
0;0;0;0.816667;0.183333;
1;0;0;0;0;
0;0;0.195833;0.804167;0;
1;0;0;0;0;
0;0;0;0.6625;0.3375;
1;0;0;0;0;
0;0;0.204167;0.795833;0;
1;0;0;0;0;
0;0;0;0.866667;0.133333;
1;0;0;0;0;
0;0;0.54375;0.45625;0;
1;0;0;0;0;
0;0;0;0.902083;0.0979167;
1;0;0;0;0;
0;0;0.170833;0.829167;0;
1;0;0;0;0;
0;0;0;0.26875;0.73125;
1;0;0;0;0;
0;0;0;0.808333;0.191667;
1;0;0;0;0;
0;0;0;0.420833;0.579167;
1;0;0;0;0;
0;0;0.3875;0.6125;0;
1;0;0;0;0;
0;0;0;0.770833;0.229167;
1;0;0;0;0;
0;0;0.247917;0.752083;0;
1;0;0;0;0;
0;0;0;0.485417;0.514583;
1;0;0;0;0;
0;0;0.179167;0.820833;0;
1;0;0;0;0;
0;0;0;0.69375;0.30625;
1;0;0;0;0;
0;0;0.383333;0.616667;0;
1;0;0;0;0;
0;0;0;0.877083;0.122917;
1;0;0;0;0;
0;0;0.372917;0.627083;0;
1;0;0;0;0;
0;0;0;0.822917;0.177083;
1;0;0;0;0;
0;0;0.479167;0.520833;0;
1;0;0;0;0;
0;0;0.0645833;0.935417;0;
1;0;0;0;0;
0;0;0.814583;0.185417;0;
1;0;0;0;0;
0;0;0.23125;0.76875;0;
1;0;0;0;0;
0;0;0.566667;0.433333;0;
1;0;0;0;0;
0;0;0;0.979167;0.0208333;
1;0;0;0;0;
0;0;0.527083;0.472917;0;
1;0;0;0;0;
0;0;0;0.733333;0.266667;
1;0;0;0;0;
0;0;0.275;0.725;0;
1;0;0;0;0;
0;0;0;0.920833;0.0791667;
1;0;0;0;0;
0;0;0.566667;0.433333;0;
1;0;0;0;0;
0;0;0.0791667;0.920833;0;
1;0;0;0;0;
0;0;0.533333;0.466667;0;
1;0;0;0;0;
0;0;0;0.970833;0.0291667;
1;0;0;0;0;
0;0;0.64375;0.35625;0;
1;0;0;0;0;
0;0;0.347917;0.652083;0;
1;0;0;0;0;
0;0;0.829167;0.170833;0;
1;0;0;0;0;
0;0;0.26875;0.73125;0;
1;0;0;0;0;
0;0;0.75;0.25;0;
1;0;0;0;0;
0;0;0.19375;0.80625;0;
1;0;0;0;0;
0;0;0.7375;0.2625;0;
