PS100;PS80;PS60;PS40;PS20
0;0;0;0.358333;0.641667;
0;0;0.697917;0.302083;0;
0;0;0;0.00833333;0.991667;
0;0;0.864583;0.135417;0;
0;0;0;0;1;
0;0;0.685417;0.314583;0;
0;0;0;0;1;
0;0;0.770833;0.229167;0;
0;0;0;0;1;
0;0;0.525;0.475;0;
0;0;0;0;1;
0;0;0.735417;0.264583;0;
0;0;0;0;1;
0;0;0.645833;0.354167;0;
0;0;0;0;1;
0;0;0.827083;0.172917;0;
0;0;0;0;1;
0;0;0.6375;0.3625;0;
0;0;0;0;1;
0;0;0.752083;0.247917;0;
0;0;0;0;1;
0;0;0.514583;0.485417;0;
0;0;0;0;1;
0;0;0.65625;0.34375;0;
0;0;0;0;1;
0;0;0.460417;0.539583;0;
0;0;0;0;1;
0;0;0.595833;0.404167;0;
0;0;0;0;1;
0;0;0.395833;0.604167;0;
0;0;0;0;1;
0;0;0.547917;0.452083;0;
0;0;0;0;1;
0;0;0.38125;0.61875;0;
0;0;0;0;1;
0;0;0.525;0.475;0;
0;0;0;0;1;
0;0;0.308333;0.691667;0;
0;0;0;0;1;
0;0;0.422917;0.577083;0;
0;0;0;0;1;
0;0;0.245833;0.754167;0;
0;0;0;0;1;
0;0;0.445833;0.554167;0;
0;0;0;0;1;
0;0;0.372917;0.627083;0;
0;0;0;0;1;
0;0;0.577083;0.422917;0;
0;0;0;0;1;
0;0;0.36875;0.63125;0;
0;0;0;0;1;
0;0;0.495833;0.504167;0;
0;0;0;0;1;
0;0;0.252083;0.747917;0;
0;0;0;0;1;
0;0;0.383333;0.616667;0;
0;0;0;0;1;
0;0;0.270833;0.729167;0;
0;0;0;0;1;
0;0;0.56875;0.43125;0;
0;0;0;0;1;
0;0;0.445833;0.554167;0;
0;0;0;0;1;
0;0;0.585417;0.414583;0;
0;0;0;0;1;
0;0;0.333333;0.666667;0;
0;0;0;0;1;
0;0;0.4625;0.5375;0;
0;0;0;0;1;
0;0;0.314583;0.685417;0;
0;0;0;0;1;
0;0;0.54375;0.45625;0;
0;0;0;0;1;
0;0;0.433333;0.566667;0;
0;0;0;0;1;
0;0;0.60625;0.39375;0;
0;0;0;0;1;
0;0;0.397917;0.602083;0;
0;0;0;0;1;
0;0;0.527083;0.472917;0;
0;0;0;0;1;
0;0;0.347917;0.652083;0;
0;0;0;0;1;
0;0;0.602083;0.397917;0;
0;0;0;0;1;
0;0;0.475;0.525;0;
0;0;0;0;1;
0;0;0.639583;0.360417;0;
0;0;0;0;1;
0;0;0.44375;0.55625;0;
0;0;0;0;1;
0;0;0.522917;0.477083;0;
0;0;0;0;1;
0;0;0.325;0.675;0;
0;0;0;0;1;
0;0;0.5375;0.4625;0;
0;0;0;0;1;
0;0;0.40625;0.59375;0;
0;0;0;0;1;
0;0;0.589583;0.410417;0;
0;0;0;0;1;
0;0;0.422917;0.577083;0;
0;0;0;0;1;
0;0;0.525;0.475;0;
0;0;0;0;1;
0;0;0.3875;0.6125;0;
0;0;0;0;1;
0;0;0.625;0.375;0;
0;0;0;0;1;
0;0;0.541667;0.458333;0;
0;0;0;0;1;
0;0;0.710417;0.289583;0;
0;0;0;0;1;
0;0;0.485417;0.514583;0;
0;0;0;0;1;
0;0;0.6;0.4;0;
0;0;0;0;1;
0;0;0.441667;0.558333;0;
0;0;0;0;1;
0;0;0.6375;0.3625;0;
