PS100;PS80;PS60;PS40;PS20
0;0.66875;0.33125;0;0;
0;0;0.991667;0.00833333;0;
0;0.677083;0.322917;0;0;
0;0;0.820833;0.179167;0;
0;0.08125;0.91875;0;0;
0;0;0;0.83125;0.16875;
0;0.825;0.175;0;0;
0;0;0;0.733333;0.266667;
0;0.8375;0.1625;0;0;
0;0;0;0.289583;0.710417;
0.577083;0.422917;0;0;0;
0;0;0;0.277083;0.722917;
0.745833;0.254167;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.972917;0.0270833;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.40625;0.59375;0;0;0;
0;0;0;0;1;
0.391667;0.608333;0;0;0;
0;0;0;0;1;
0.152083;0.847917;0;0;0;
0;0;0;0;1;
0.460417;0.539583;0;0;0;
0;0;0;0;1;
0.470833;0.529167;0;0;0;
0;0;0;0;1;
0.66875;0.33125;0;0;0;
0;0;0;0;1;
0.339583;0.660417;0;0;0;
0;0;0;0;1;
0.31875;0.68125;0;0;0;
0;0;0;0;1;
0.0166667;0.983333;0;0;0;
0;0;0;0;1;
0.179167;0.820833;0;0;0;
0;0;0;0;1;
0.125;0.875;0;0;0;
0;0;0;0;1;
0.4375;0.5625;0;0;0;
0;0;0;0;1;
0.35625;0.64375;0;0;0;
0;0;0;0;1;
0.458333;0.541667;0;0;0;
0;0;0;0;1;
0.102083;0.897917;0;0;0;
0;0;0;0;1;
0.177083;0.822917;0;0;0;
0;0;0;0;1;
0.0354167;0.964583;0;0;0;
0;0;0;0;1;
0.2875;0.7125;0;0;0;
0;0;0;0;1;
0.252083;0.747917;0;0;0;
0;0;0;0;1;
0.479167;0.520833;0;0;0;
0;0;0;0;1;
0.108333;0.891667;0;0;0;
0;0;0;0;1;
0.21875;0.78125;0;0;0;
0;0;0;0;1;
0;0.904167;0.0958333;0;0;
0;0;0;0;1;
0.2;0.8;0;0;0;
0;0;0;0;1;
0.0791667;0.920833;0;0;0;
0;0;0;0;1;
0.477083;0.522917;0;0;0;
0;0;0;0;1;
0.341667;0.658333;0;0;0;
0;0;0;0;1;
0.595833;0.404167;0;0;0;
0;0;0;0;1;
0.441667;0.558333;0;0;0;
0;0;0;0;1;
0.627083;0.372917;0;0;0;
0;0;0;0;1;
0.445833;0.554167;0;0;0;
0;0;0;0;1;
0.747917;0.252083;0;0;0;
0;0;0;0;1;
0.647917;0.352083;0;0;0;
0;0;0;0;1;
0.885417;0.114583;0;0;0;
0;0;0;0;1;
0.602083;0.397917;0;0;0;
0;0;0;0;1;
0.689583;0.310417;0;0;0;
0;0;0;0;1;
0.470833;0.529167;0;0;0;
0;0;0;0;1;
0.739583;0.260417;0;0;0;
0;0;0;0;1;
0.654167;0.345833;0;0;0;
0;0;0;0;1;
0.879167;0.120833;0;0;0;
0;0;0;0;1;
0.610417;0.389583;0;0;0;
0;0;0;0;1;
0.704167;0.295833;0;0;0;
0;0;0;0;1;
0.472917;0.527083;0;0;0;
0;0;0;0;1;
0.791667;0.208333;0;0;0;
0;0;0;0;1;
0.772917;0.227083;0;0;0;
0;0;0;0;1;
1;0;0;0;0;
0;0;0;0;1;
0.85625;0.14375;0;0;0;
0;0;0;0;1;
0.960417;0.0395833;0;0;0;
0;0;0;0;1;
0.614583;0.385417;0;0;0;
0;0;0;0;1;
0.777083;0.222917;0;0;0;
0;0;0;0;1;
