
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/PeopleOnStreet_2560x1600_30_crop.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 2560x1600 30Hz
Internal Format                   : 2560x1600 30Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 1
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 8
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 32.00
Max dQP signaling depth           : 0
FME                               : 2
Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:0 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 32 QP 32 )    1367432 bits [Y 36.6142 dB    U 41.4173 dB    V 42.0917 dB] [ET  5.38 ] [L0 ] [L1 ]
POC    1 TId: 0 ( P-SLICE, nQP 35 QP 35 )     333960 bits [Y 33.0411 dB    U 40.6992 dB    V 41.5781 dB] [ET  7.41 ] [L0 0 ] [L1 ]
POC    2 TId: 0 ( P-SLICE, nQP 34 QP 34 )     459328 bits [Y 33.3955 dB    U 40.1190 dB    V 41.2120 dB] [ET  9.21 ] [L0 1 0 ] [L1 ]
POC    3 TId: 0 ( P-SLICE, nQP 35 QP 35 )     356744 bits [Y 32.4770 dB    U 39.7741 dB    V 40.9472 dB] [ET  8.95 ] [L0 2 0 ] [L1 ]
POC    4 TId: 0 ( P-SLICE, nQP 33 QP 33 )     882992 bits [Y 35.6870 dB    U 40.8501 dB    V 41.6493 dB] [ET 10.29 ] [L0 3 0 ] [L1 ]
POC    5 TId: 0 ( P-SLICE, nQP 35 QP 35 )     326040 bits [Y 32.8597 dB    U 40.2531 dB    V 41.2420 dB] [ET  8.58 ] [L0 4 0 ] [L1 ]
POC    6 TId: 0 ( P-SLICE, nQP 34 QP 34 )     463024 bits [Y 33.2556 dB    U 39.7795 dB    V 40.9178 dB] [ET  9.21 ] [L0 5 4 ] [L1 ]
POC    7 TId: 0 ( P-SLICE, nQP 35 QP 35 )     351280 bits [Y 32.3974 dB    U 39.5147 dB    V 40.7152 dB] [ET  8.86 ] [L0 6 4 ] [L1 ]
POC    8 TId: 0 ( P-SLICE, nQP 33 QP 33 )     885528 bits [Y 35.5853 dB    U 40.7357 dB    V 41.5529 dB] [ET 10.32 ] [L0 7 4 ] [L1 ]
POC    9 TId: 0 ( P-SLICE, nQP 35 QP 35 )     327400 bits [Y 32.8225 dB    U 40.1994 dB    V 41.1776 dB] [ET  8.65 ] [L0 8 4 ] [L1 ]
POC   10 TId: 0 ( P-SLICE, nQP 34 QP 34 )     464728 bits [Y 33.2497 dB    U 39.7861 dB    V 40.8956 dB] [ET  8.87 ] [L0 9 8 ] [L1 ]
POC   11 TId: 0 ( P-SLICE, nQP 35 QP 35 )     348192 bits [Y 32.3873 dB    U 39.5151 dB    V 40.7115 dB] [ET  8.61 ] [L0 10 8 ] [L1 ]
POC   12 TId: 0 ( P-SLICE, nQP 33 QP 33 )     895032 bits [Y 35.5942 dB    U 40.6970 dB    V 41.5099 dB] [ET  9.98 ] [L0 11 8 ] [L1 ]
POC   13 TId: 0 ( P-SLICE, nQP 35 QP 35 )     324768 bits [Y 32.8129 dB    U 40.1760 dB    V 41.1411 dB] [ET  8.34 ] [L0 12 8 ] [L1 ]
POC   14 TId: 0 ( P-SLICE, nQP 34 QP 34 )     464184 bits [Y 33.2468 dB    U 39.7598 dB    V 40.8755 dB] [ET  8.90 ] [L0 13 12 ] [L1 ]
POC   15 TId: 0 ( P-SLICE, nQP 35 QP 35 )     358512 bits [Y 32.3871 dB    U 39.4929 dB    V 40.6957 dB] [ET  8.65 ] [L0 14 12 ] [L1 ]
POC   16 TId: 0 ( P-SLICE, nQP 33 QP 33 )     899808 bits [Y 35.5775 dB    U 40.7150 dB    V 41.5425 dB] [ET  9.97 ] [L0 15 12 ] [L1 ]
