PS100;PS80;PS60;PS40;PS20
1;0;0;0;0;
0;0.260417;0.739583;0;0;
1;0;0;0;0;
0;0.514583;0.485417;0;0;
0.86875;0.13125;0;0;0;
0;0;0.720833;0.279167;0;
1;0;0;0;0;
0;0.25;0.75;0;0;
0.560417;0.439583;0;0;0;
0;0;0.864583;0.135417;0;
0.802083;0.197917;0;0;0;
0;0.489583;0.510417;0;0;
0.564583;0.435417;0;0;0;
0;0.00208333;0.997917;0;0;
0.791667;0.208333;0;0;0;
0;0.502083;0.497917;0;0;
0.579167;0.420833;0;0;0;
0;0;0.864583;0.135417;0;
0.83125;0.16875;0;0;0;
0;0.304167;0.695833;0;0;
0.416667;0.583333;0;0;0;
0;0;0.708333;0.291667;0;
0.739583;0.260417;0;0;0;
0;0.13125;0.86875;0;0;
0.229167;0.770833;0;0;0;
0;0;0.927083;0.0729167;0;
0.335417;0.664583;0;0;0;
0;0.414583;0.585417;0;0;
0.152083;0.847917;0;0;0;
0;0.0479167;0.952083;0;0;
0.30625;0.69375;0;0;0;
0;0.552083;0.447917;0;0;
0.210417;0.789583;0;0;0;
0;0;0.908333;0.0916667;0;
0.389583;0.610417;0;0;0;
0;0.358333;0.641667;0;0;
0.01875;0.98125;0;0;0;
0;0;0.9875;0.0125;0;
0.0291667;0.970833;0;0;0;
0;0.647917;0.352083;0;0;
0;0.885417;0.114583;0;0;
0;0.0229167;0.977083;0;0;
0.116667;0.883333;0;0;0;
0;0.65625;0.34375;0;0;
0.00625;0.99375;0;0;0;
0;0.179167;0.820833;0;0;
0.229167;0.770833;0;0;0;
0;0.639583;0.360417;0;0;
0.139583;0.860417;0;0;0;
0;0;0.989583;0.0104167;0;
0.2125;0.7875;0;0;0;
0;0.610417;0.389583;0;0;
0;0.933333;0.0666667;0;0;
0;0;0.9625;0.0375;0;
0.110417;0.889583;0;0;0;
0;0.64375;0.35625;0;0;
0;0.947917;0.0520833;0;0;
0;0.0979167;0.902083;0;0;
0.23125;0.76875;0;0;0;
0;0.777083;0.222917;0;0;
0.0875;0.9125;0;0;0;
0;0.147917;0.852083;0;0;
0.335417;0.664583;0;0;0;
0;0.608333;0.391667;0;0;
0.0833333;0.916667;0;0;0;
0;0.13125;0.86875;0;0;
0.135417;0.864583;0;0;0;
0;0.81875;0.18125;0;0;
0.0291667;0.970833;0;0;0;
0;0.225;0.775;0;0;
0.308333;0.691667;0;0;0;
0;0.745833;0.254167;0;0;
0.170833;0.829167;0;0;0;
0;0.15;0.85;0;0;
0.2625;0.7375;0;0;0;
0;0.747917;0.252083;0;0;
0.0729167;0.927083;0;0;0;
0;0.202083;0.797917;0;0;
0.260417;0.739583;0;0;0;
0;0.85;0.15;0;0;
0.24375;0.75625;0;0;0;
0;0.18125;0.81875;0;0;
0.475;0.525;0;0;0;
0;0.766667;0.233333;0;0;
0.3375;0.6625;0;0;0;
0;0.00416667;0.995833;0;0;
0.427083;0.572917;0;0;0;
0;0.558333;0.441667;0;0;
0.08125;0.91875;0;0;0;
0;0.116667;0.883333;0;0;
0.15625;0.84375;0;0;0;
0;0.791667;0.208333;0;0;
0.05625;0.94375;0;0;0;
0;0.2625;0.7375;0;0;
0.297917;0.702083;0;0;0;
0;0.75625;0.24375;0;0;
0.160417;0.839583;0;0;0;
0;0.183333;0.816667;0;0;
0.3125;0.6875;0;0;0;
0;0.7;0.3;0;0;
0.0791667;0.920833;0;0;0;
0;0.233333;0.766667;0;0;
0.314583;0.685417;0;0;0;
0;0.735417;0.264583;0;0;
0.229167;0.770833;0;0;0;
0;0.25;0.75;0;0;
0.477083;0.522917;0;0;0;
0;0.666667;0.333333;0;0;
0.4;0.6;0;0;0;
0;0.025;0.975;0;0;
0.566667;0.433333;0;0;0;
0;0.477083;0.522917;0;0;
0.308333;0.691667;0;0;0;
0;0;0.972917;0.0270833;0;
0.427083;0.572917;0;0;0;
0;0.554167;0.445833;0;0;
0.21875;0.78125;0;0;0;
0;0.158333;0.841667;0;0;
0.410417;0.589583;0;0;0;
0;0.641667;0.358333;0;0;
